person,dept,eow,cause,cause_short,date,year,dept_name,state
Constable Darius Quimby,Albany County Constable's Office, NY,EOW: Monday, January 3, 1791,Cause of Death: Gunfire,Gunfire,1791-01-03,1791,Albany County Constable's Office,NY
Sheriff Cornelius Hogeboom,Columbia County Sheriff's Office, NY,EOW: Saturday, October 22, 1791,Cause of Death: Gunfire,Gunfire,1791-10-22,1791,Columbia County Sheriff's Office,NY
Deputy Sheriff Isaac Smith,Westchester County Sheriff's Department, NY,EOW: Thursday, May 17, 1792,Cause of Death: Gunfire,Gunfire,1792-05-17,1792,Westchester County Sheriff's Department,NY
Sheriff Robert Maxwell,Greenville County Sheriff's Office, SC,EOW: Sunday, November 12, 1797,Cause of Death: Gunfire,Gunfire,1797-11-12,1797,Greenville County Sheriff's Office,SC
High Sheriff John Caldwell Cook,Mecklenburg County Sheriff's Office, NC,EOW: Tuesday, October 16, 1804,Cause of Death: Gunfire,Gunfire,1804-10-16,1804,Mecklenburg County Sheriff's Office,NC
Watchman Christian Luswanger,New York City Watch, NY,EOW: Thursday, December 25, 1806,Cause of Death: Stabbed,Stabbed,1806-12-25,1806,New York City Watch,NY
Deputy Sheriff John A. Gooch,Livingston County Sheriff's Department, KY,EOW: Saturday, March 7, 1807,Cause of Death: Gunfire,Gunfire,1807-03-07,1807,Livingston County Sheriff's Department,KY
Deputy Sheriff Ebenezer Parker,Cumberland County Sheriff's Office, ME,EOW: Monday, January 18, 1808,Cause of Death: Assault,Assault,1808-01-18,1808,Cumberland County Sheriff's Office,ME
Night Watchman George Workner,Baltimore City Police Department, MD,EOW: Tuesday, March 15, 1808,Cause of Death: Stabbed,Stabbed,1808-03-15,1808,Baltimore City Police Department,MD
Deputy Sheriff John Tileston Downes,Hancock County Sheriff's Department, ME,EOW: Monday, January 28, 1811,Cause of Death: Gunfire,Gunfire,1811-01-28,1811,Hancock County Sheriff's Department,ME
Sheriff John Coor Pender,Wayne County Sheriff's Office, NC,EOW: Monday, January 1, 1816,Cause of Death: Gunfire,Gunfire,1816-01-01,1816,Wayne County Sheriff's Office,NC
Sheriff Caleb Hewitt,Davidson County Sheriff's Office, TN,EOW: Monday, September 9, 1816,Cause of Death: Assault,Assault,1816-09-09,1816,Davidson County Sheriff's Office,TN
Deputy Sheriff William Huddleston,Schoharie County Sheriff's Department, NY,EOW: Friday, October 9, 1818,Cause of Death: Assault,Assault,1818-10-09,1818,Schoharie County Sheriff's Department,NY
Constable Jacob Dearduff, Sr.,Jamestown Police Department, OH,EOW: Saturday, February 22, 1823,Cause of Death: Stabbed,Stabbed,1823-02-22,1823,Jamestown Police Department,OH
Constable Elijah Chenault,Alexandria Police Department, VA,EOW: Monday, August 4, 1823,Cause of Death: Assault,Assault,1823-08-04,1823,Alexandria Police Department,VA
Constable Robert Murphy,Franklin County Sheriff's Department, IN,EOW: Thursday, November 11, 1824,Cause of Death: Stabbed,Stabbed,1824-11-11,1824,Franklin County Sheriff's Department,IN
Constable William Davidson,Pennsylvania State Constable - Venango County, PA,EOW: Thursday, April 14, 1825,Cause of Death: Gunfire,Gunfire,1825-04-14,1825,Pennsylvania State Constable - Venango County,PA
