dept_name,state,lat,lng
New York City Watch,NY,40.7127837,-74.0059413
Pennsylvania State Constable - Venango County,PA,41.3896611,-79.8296743
Pittsburgh Night Watch,PA,40.44062479999999,-79.9958864
Nevada County Sheriff's Office,CA,39.2700244,-121.026047
Cambridge Police Department,MA,42.3672909,-71.0861288
Virginia City Police Department,NV,39.3079938,-119.6503237
Jackson County Sheriff's Office,MO,38.9839504,-94.35430559999999
Trinity County Sheriff's Department,CA,40.7361761,-122.9476264
Tazewell County Sheriff's Office,IL,40.5691269,-89.6496396
Holmes County Sheriff's Office,FL,30.7937431,-85.6787576
Rio Grande County Sheriff's Office,CO,37.6766477,-106.3505016
Fort Worth Marshal's Office,TX,32.7502628,-97.3307865
Morris Police Department,IL,41.3623372,-88.42257149999999
Petersburg High Constable's Office,VA,37.1868196,-77.39920029999999
Kenton Police Department,OH,40.6470495,-83.608536
Long Island City Police Department,NY,40.742945,-73.954629
Versailles Police Department,KY,38.0522378,-84.7309559
Fannin County Sheriff's Office,TX,33.5921565,-96.2168942
Bradford County Sheriff's Office,FL,29.9542386,-82.1095556
Ballinger Police Department,TX,31.737928,-99.9500111
Chester County Sheriff's Office,PA,39.95848,-75.60798299999999
Fannin County Constable's Office - Precinct 7,TX,33.5899959,-96.33347260000001
Christy Township Constable's Office,IL,38.6966292,-87.8746146
Pontiac Police Department,IL,40.8814872,-88.6300843
Pennsylvania State Constable - Huntingdon County,PA,40.4155273,-78.0195387
Pierce City Police Department,MO,36.9443656,-94.0028966
Vigo County Sheriff's Office,IN,39.4667376,-87.414726
Kiowa County Sheriff's Office,KS,37.6042979,-99.29091989999999
Franklin County Constable's Office - Precinct 3,TX,33.1828691,-95.3302899
Butte County Sheriff's Office,CA,39.5296125,-121.5735354
Trinity County Constable's Office - Precinct 1,TX,31.0549071,-95.1257691
Marshall County Constable's Office,AL,34.305759,-86.28693319999999
Falls County Constable's Office - Precinct 7,TX,30.19504869999999,-97.69383859999999
North Baltimore Police Department,OH,41.1830457,-83.67860429999999
Rapides Parish Constable's Office,LA,31.1461104,-92.539603
Colorado County Constable's Office - Precinct 1,TX,29.7059953,-96.5392296
Bolivar Police Department,MO,37.6108598,-93.4117883
Slaughtersville Marshal's Office,KY,38.022381,-84.419055
McIntosh County Sheriff's Office,GA,31.4087242,-81.45596259999999
Pennsylvania State Constable - Washington County,PA,40.1367719,-80.1875065
Chester Police Department,PA,39.851575,-75.3593391
Everett Police Department,MA,42.41254470000001,-71.04469279999999
Wise County Sheriff's Office,VA,36.9677922,-82.55045419999999
Dickenson County Sheriff's Office,VA,37.145172,-82.4380954
Big Horn County Sheriff's Office,WY,44.3820628,-108.0398469
Mineola Police Department,TX,32.676003,-95.4861916
Oliver Springs Police Department,TN,36.0459176,-84.3430683
Fayette County Sheriff's Department,WV,38.052845,-81.103781
Val Verde County Sheriff's Office,TX,29.3740415,-100.8466459
Wahalak Constable's Office,MS,32.9056854,-88.52976310000001
Shelby County Sixth District Constable's Office,TN,35.1299623,-89.97512660000001
Ardmore Police Department,OK,34.17172,-97.129105
Bug Hill Township Constable's Office,NC,34.0508657,-78.6795836
Simpson County Sheriff's Department,MS,31.9595029,-89.86043459999999
Bay Minette Police Department,AL,30.8853189,-87.7734371
St. Johns County Sheriff's Office,FL,29.9407753,-81.3367614
Benson Police Department,AZ,31.9648613,-110.2940343
Fishing River Township Constable's Office,MO,39.2838885,-94.27436279999999
Crab Orchard Police Department,KY,37.461823,-84.50603269999999
Monroe County Sheriff's Office,NY,43.1525032,-77.6136722
Avery County Constable's Office - Elk Park Precinct,NC,36.0869929,-81.92646239999999
Clay City Police Department,KY,37.8606043,-83.92113
Moultrie County Sheriff's Department,IL,39.6076073,-88.6305539
Humboldt Police Department,TN,35.8220345,-88.9163279
Kiel Police Department,WI,43.913348,-88.03806499999999
East Chicago Police Department,IN,41.638056,-87.44360379999999
Kanawha County Constable's Office - Eskdale District,WV,38.091217,-81.44372369999999
Graves County Constable's Office,KY,36.6887728,-88.7108964
Houston County Sheriff's Office,AL,31.2244225,-85.3931127
Portland Police Department,ME,43.6592912,-70.2522637
Camden County Sheriff's Office,NJ,39.9448437,-75.1199922
Richland County Fair,WI,43.3559692,-90.38012429999999
Terrell County Sheriff's Department,TX,30.1433627,-102.3947155
Wyoming Borough Police Department,PA,41.3117471,-75.83741739999999
St. Louis County Sheriff's Office,MO,38.64852339999999,-90.3390816
South Carolina State Constable,SC,33.4983441,-80.85014919999999
Crafton Borough Police Department,PA,40.4348354,-80.0665547
Deeth Constable's Office,NV,41.0654759,-115.2747787
Jackson County Sheriff's Department,MI,42.2450559,-84.4099511
Golden Valley County Sheriff's Department,MT,46.2980835,-109.2580059
West Chicago Police Department,IL,41.8805831,-88.2001056
Pennsylvania State Constable - Perry County,PA,40.371376,-77.2405153
Pennsylvania State Constable - Chester County,PA,40.0010204,-75.8069082
Van Zandt County Constable's Office - Precinct 1,TX,32.6746579,-95.7115546
Bradley County Sheriff's Office,TN,35.1332553,-84.8833161
Mitchell County Sheriff's Office,NC,36.013121,-82.15413889999999
North College Hill Police Department,OH,39.2182811,-84.5516486
Exeter Police Department,NH,42.9793611,-70.946457
Mercer County Sheriff's Office,OH,40.546457,-84.6153398
Lower Merion Township Police Department,PA,40.0071365,-75.28831950000001
Minden Police Department,NE,40.4971649,-98.9490867
Camp Hill Borough Police Department,PA,40.24147970000001,-76.9221711
Erie County Sheriff's Office,NY,42.7194145,-78.74246839999999
Thomas County Sheriff's Office,KS,39.3953651,-101.0433032
Little Valley Police Department,NY,42.2522344,-78.8010079
Verden Police Department,OK,35.085842,-98.09066899999999
West Virginia Division of Corrections,WV,37.7813331,-81.1609289
Perry County Constable's Office,KY,37.3160706,-83.2077645
Brule County Sheriff's Department,SD,43.8081155,-99.3340808
Darlington Police Department,WI,42.6838691,-90.11761349999999
East Bethlehem Township Police Department,PA,40.0067549,-79.9971869
Raleigh County Constable's Office,WV,37.7381597,-81.2518833
Hamburg Borough Police Department,PA,40.556407,-75.9840798
Grant County Constable's Office,IN,40.4730605,-85.684578
Edgewood Borough Police Department,PA,40.4204376,-79.884213
South Chicago Heights Police Department,IL,41.48901,-87.635674
Van Alstyne Police Department,TX,33.423112,-96.57725800000001
North York Borough Police Department,PA,40.0086231,-76.8284053
Marks Creek Township Constable's Office,NC,35.8093444,-78.4069732
Walton County Sheriff's Office,FL,30.37226519999999,-86.1790175
Morristown Police Department,NJ,40.790844,-74.474515
Bath County Sheriff's Office,VA,38.046026,-79.78921179999999
Bristol Police Department,CT,41.674105,-72.9469258
Kiowa County Sheriff's Office,CO,38.4796659,-102.7800284
Cleveland County Sheriff's Office,NC,35.2908124,-81.53595899999999
West Elizabeth Borough Police Department,PA,40.2715941,-79.8230086
Woodville Marshal's Office,OK,33.96982150000001,-96.6536086
Stanford Police Department,KY,37.52959990000001,-84.65947930000002
Ware County Police Department,GA,31.2155517,-82.35557709999999
Wyandotte County Sheriff's Office,KS,39.1131151,-94.6274263
Royal Oak City Police Department,MI,42.4884135,-83.1424938
York County Sheriff's Office,SC,34.9824089,-81.2002241
Wilson County District Four Constable's Office,TN,36.1674144,-86.3058803
Brentwood Borough Police Department,PA,40.3732112,-79.97586869999999
Medford Police Department,OR,42.32222549999999,-122.8742863
Titus County Constable's Office - Precinct 8,TX,33.1868871,-94.9808085
Torrance County Sheriff's Office,NM,34.7591431,-106.061436
South St. Paul Police Department,MN,44.8915166,-93.0374934
Harrison Police Department,AR,36.2291238,-93.1101953
Mercer County Sheriff's Department,WV,37.365518,-81.102991
Raleigh County Sheriff's Department,WV,37.780921,-81.1666971
El Segundo Police Department,CA,33.9200131,-118.4155463
Summit Police Department,IL,41.78590130000001,-87.81147659999999
Pennsylvania State Constable - Lancaster County,PA,40.0466571,-76.17837390000001
St. John the Baptist Parish Sheriff's Office,LA,30.0720685,-90.4996422
Athens Police Department,GA,33.9423375,-83.3283095
Roseville Police Department,MI,42.5159436,-82.92544199999999
Valley Park Police Department,MO,38.5519949,-90.4872113
Alleghany County Sheriff's Office,NC,36.506876,-81.120452
Park County Sheriff's Office,WY,44.5325561,-109.0609594
Twin Falls Police Department,ID,42.5545647,-114.4651028
Oyster Bay Cove Police Department,NY,40.84691300000001,-73.50457949999999
Upland Police Department,CA,34.110888,-117.6777814
Greenville Borough Police Department,PA,41.4040308,-80.3911911
Lester Police Department,WV,37.7364232,-81.29982129999999
Richmond Police Department,CA,37.9177771,-122.3498643
Sierra County Sheriff's Department,NM,33.1214932,-107.2806144
Marion Police Department,IN,40.5583004,-85.6567229
Charleroi Borough Police Department,PA,40.1366476,-79.89638769999999
Lancaster County Magistrate's Office,SC,34.7278037,-80.7523367
Bastrop Police Department,LA,32.7767185,-91.9125802
Georgetown Police Department,TX,30.6387221,-97.67960869999999
Gloucester City Police Department,NJ,39.8979681,-75.1229274
Munster Police Department,IN,41.5622888,-87.5038934
Texas County Sheriff's Office,OK,36.668689,-101.479763
Georgetown County Sheriff's Office,SC,33.3770749,-79.2872072
Barton County Sheriff's Office,KS,38.3661982,-98.76340979999999
Johnson County Sheriff's Office,KS,38.883045,-94.8199336
Saline County Sheriff's Office,KS,38.8448855,-97.6151857
Keystone Police Department,WV,37.4142994,-81.45134639999999
Rockdale Police Department,TX,30.6555227,-97.0024062
North Dakota Highway Patrol,ND,46.8206977,-100.7827515
Escambia County District Four Constable's Office,FL,30.4138554,-87.2461874
Valley View Police Department,OH,41.3786169,-81.6101363
Richmond County Sheriff's Office,GA,33.46490000000001,-81.9602645
Morgan City Police Department,LA,29.6945418,-91.18807000000001
Cache County Sheriff's Office,UT,41.73718,-111.865652
Saint Albans Police Department,WV,38.3868796,-81.8381041
Leavenworth County Sheriff's Office,KS,39.3141127,-94.91067389999999
Northumberland Police Department,NH,44.5996,-71.51028459999999
Middlesex County Sheriff's Office,MA,42.6387544,-71.31415989999999
New Ellenton Police Department,SC,33.4210874,-81.6850479
Duval County Constable's Office - Precinct 1,TX,27.7648601,-98.2458599
