dept_name;state;notFound;notMatched
Columbia County Sheriff's Office;NY;False;False
United States Department of Justice - United States Marshals Service;US;False;False
Mecklenburg County Sheriff's Office;NC;False;False
Livingston County Sheriff's Department;KY;False;False
Baltimore City Police Department;MD;False;False
United States Department of the Treasury - Customs Service;US;False;True
Wayne County Sheriff's Office;NC;False;False
Schoharie County Sheriff's Department;NY;False;False
Alexandria Police Department;VA;False;False
Pennsylvania State Constable - Venango County;PA;False;False
Philadelphia Police Department;PA;False;False
Caroline County Sheriff's Office;VA;False;False
Foster Police Department;RI;False;False
Connecticut Department of Correction;CT;False;False
Harrison County Sheriff's Department;IN;False;False
Purdy Constable's Office;TN;False;False
St. Louis Metropolitan Police Department;MO;False;False
Texas Rangers;TX;False;False
Ashtabula County Sheriff's Department;OH;False;False
Bexar County Sheriff's Office;TX;False;False
Jacksonville Police Department;FL;False;False
Harrison County Sheriff's Office;TX;False;False
Ohio Department of Rehabilitation and Correction;OH;False;False
Missouri Department of Corrections;MO;False;False
Dubois County Sheriff's Department;IN;False;False
Massachusetts Department of Correction;MA;False;False
Shannon County Sheriff's Department;MO;False;False
Ashe County Sheriff's Office;NC;False;False
Crawford County Sheriff's Department;WI;False;False
Jackson County Sheriff's Department;FL;False;False
Pennsylvania Department of Corrections;PA;False;False
Delaware County Sheriff's Office;NY;False;False
Augusta Police Department;KY;False;False
Cherokee County Sheriff's Office;AL;False;False
Cherokee Nation Marshal Service;TR;False;False
Montgomery County Sheriff's Office;TX;False;False
Hampshire County Sheriff's Office;VA;False;False
Sullivan County Sheriff's Office;MO;False;False
Cincinnati Police Department;OH;False;False
New York Municipal Police Force;NY;False;False
Sacramento County Sheriff's Department;CA;False;False
Smith County Sheriff's Office;TX;False;False
United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement;US;False;False
Calhoun County Sheriff's Office;TX;False;False
DeKalb County Sheriff's Office;GA;False;False
Providence City Watch;RI;False;False
Fall River Police Department;MA;False;False
King County Sheriff's Office;WA;False;False
Pittsburgh Night Watch;PA;False;False
Salt Lake County Sheriff's Office;UT;False;False
Cleveland Police Department;OH;False;False
Chicago Police Department;IL;False;False
Los Angeles County Constable's Office;CA;False;False
Stockton Police Department;CA;False;False
Columbus Division of Police;OH;False;False
Monterey County Constable's Office;CA;False;False
Newark Police Department;NJ;False;False
Laurel County Sheriff's Department;KY;False;False
Sonora Police Department;CA;False;False
Amador County Sheriff's Department;CA;False;False
Monterey County Sheriff's Department;CA;False;False
New Haven Police Department;CT;False;False
New Orleans Police Department;LA;False;False
Nevada City Police Department;CA;False;False
Nevada County Sheriff's Office;CA;False;False
Winnebago County Sheriff's Office;IL;False;False
New Brunswick Police Department;NJ;False;False
Los Angeles County Sheriff's Department;CA;False;False
Estill County Sheriff's Department;KY;False;False
Burleson County Constable's Office - Precinct 3;TX;False;False
San Antonio Police Department;TX;False;False
New York Metropolitan Police Force;NY;False;False
Boston Police Department;MA;False;False
Llano County Sheriff's Office;TX;False;False
Sacramento Police Department;CA;False;False
Lexington Police Department;KY;False;False
Campbell County Sheriff's Office;TN;False;False
Louisville Police Department;KY;False;False
Salt Lake City Police Department;UT;False;False
Columbia Police Department;CA;False;False
Henderson County Sheriff's Office;IL;False;False
Placer County Sheriff's Department;CA;False;False
Cameron County Sheriff's Office;TX;False;False
Cameron County Constable's Office - Precinct 2;TX;False;False
Mason County Sheriff's Department;TX;False;False
Houston Police Department;TX;False;False
Memphis Police Department;TN;False;False
Springville Police Department;UT;False;False
Cambridge Police Department;MA;False;False
Collin County Sheriff's Office;TX;False;False
Amador County Constable's Office;CA;False;False
Nueces County Sheriff's Office;TX;False;False
Brown County Sheriff's Department;TX;False;False
New York State Department of Correctional Services;NY;False;False
Tarrant County Sheriff's Department;TX;False;False
Carson County Sheriff's Office;NV;False;False
Mono County Sheriff's Office;CA;False;False
Evansville Police Department;IN;False;False
Santa Clara County Sheriff's Office;CA;False;False
Virginia City Police Department;NV;False;False
Maine Department of Corrections;ME;False;False
Bannock County Sheriff's Department;ID;False;False
Wilmington Police Department;DE;False;False
Mendocino County Sheriff's Office;CA;False;False
United States Army Criminal Investigation Division;US;False;False
Illinois Department of Corrections;IL;False;False
San Diego County Sheriff's Department;CA;False;False
El Dorado County Sheriff's Department;CA;False;False
Saginaw Police Department;MI;False;False
Young County Sheriff's Office;TX;False;False
Chariton County Sheriff's Department;MO;False;False
Jefferson County Sheriff's Department;WA;False;False
Buffalo Police Department;NY;False;False
Uvalde County Sheriff's Office;TX;False;False
Umatilla County Sheriff's Department;OR;False;False
Yuma County Sheriff's Department;AZ;False;False
DeKalb County Sheriff's Office;MO;False;False
Wilmington Police Department;NC;False;False
Suspension Bridge Village Police Department;NY;False;False
Cedar County Sheriff's Office;MO;False;False
Shelby County Sheriff's Office;OH;False;False
Lincoln County Sheriff's Office;NV;False;False
Leavenworth Police Department;KS;False;False
Angelina County Sheriff's Office;TX;False;False
Quincy Police Department;FL;False;False
Jackson County Sheriff's Office;MO;False;False
Storey County Sheriff's Office;NV;False;False
Morrisania Police Department;NY;False;False
Fremont County Sheriff's Department;IA;False;False
Omaha Police Department;NE;False;False
Brooklyn Police Department;NY;False;False
Hagerstown Police Department;MD;False;False
Ogden Police Department;KS;False;False
Victoria Police Department;TX;False;False
Spokane County Sheriff's Department;WA;False;False
Lamar County Sheriff's Department;TX;False;False
Vernon County Sheriff's Department;MO;False;False
Ray County Sheriff's Department;MO;False;False
Jack County Sheriff's Department;TX;False;False
McNairy County Sheriff's Department;TN;False;False
Portland Police Bureau;OR;False;False
Ophir City Constable's Office;NV;False;False
The Dalles Police Department;OR;False;False
Farmington Marshal's Office;IA;False;False
Oakland Police Department;CA;False;False
Kalamazoo County Sheriff's Department;MI;False;False
Ormsby County Sheriff's Office;NV;False;False
Haverhill Police Department;MA;False;False
Knoxville Police Department;TN;False;False
Mattoon Police Department;IL;False;False
Reading Police Department;PA;False;False
Trinity County Sheriff's Department;CA;False;False
Capital Police District;NY;False;False
Marysville Police Department;CA;False;False
Ranchos de Albuquerque Constable's Office;NM;False;False
