dept_name,state,lat,lng
Albany County Constable's Office,NY,42.57567969999999,-73.93598209999999
Westchester County Sheriff's Department,NY,41.1220194,-73.7948516
Greenville County Sheriff's Office,SC,34.9297484,-82.34518899999999
New York City Watch,NY,40.7127837,-74.0059413
Cumberland County Sheriff's Office,ME,43.81329789999999,-70.3870587
Hancock County Sheriff's Department,ME,44.5770308,-68.3566918
Davidson County Sheriff's Office,TN,36.1342563,-86.8220341
Jamestown Police Department,OH,39.6581163,-83.7349236
Franklin County Sheriff's Department,IN,39.4233977,-85.0649071
Boston Watch,MA,42.3600825,-71.0588801
Albany County Constable's Office,NY,42.57567969999999,-73.93598209999999
Westchester County Sheriff's Department,NY,41.1220194,-73.7948516
Greenville County Sheriff's Office,SC,34.9297484,-82.34518899999999
New York City Watch,NY,40.7127837,-74.0059413
Cumberland County Sheriff's Office,ME,43.81329789999999,-70.3870587
Hancock County Sheriff's Department,ME,44.5770308,-68.3566918
Davidson County Sheriff's Office,TN,36.1342563,-86.8220341
Jamestown Police Department,OH,39.6581163,-83.7349236
Franklin County Sheriff's Department,IN,39.4233977,-85.0649071
Boston Watch,MA,42.3600825,-71.0588801
Table Rock Marshal's Office,NE,40.1761111,-96.09472679999999
Westfall Marshal's Office,OR,43.9918247,-117.7090762
Jewel Marshal's Office,KS,39.671399,-98.153661
Victor Marshal's Office,CO,38.70998960000001,-105.1399807
Scofield Marshal's Office,UT,39.7241288,-111.1607272
White Plains Marshal's Office,KY,37.183655,-87.38360949999999
Miller Marshal's Office,IN,41.5996138,-87.2673542
Brashear City Marshal's Office,TX,33.1187523,-95.73360249999999
Lula Marshal's Office,GA,34.3876013,-83.66628539999999
Fall River Marshal's Office,KS,37.6078166,-96.0280426
Oconto Marshal's Office,NE,41.1411186,-99.76317039999999
Central Pueblo Marshal's Office,CO,38.25385199999999,-104.624863
Oak Ridge Marshal's Office,LA,32.6240274,-91.77290300000001
Sharpsburg Marshal's Office,KY,38.2020214,-83.92936809999999
Como Marshal's Office,CO,39.3160998,-105.892792
Girard Marshal's Office,AL,32.4565322,-85.0043764
Empire City Marshal's Office,KS,37.0892282,-94.6418942
Fallsburg Marshal's Office,KY,38.1750856,-82.67349229999999
Rochester Marshal's Office,OH,41.1264425,-82.3051625
St. Paul Marshal's Office,OR,45.21122949999999,-122.9767662
Carlisle Marshal's Office,SC,34.5929168,-81.4625992
Jakin Marshal's Office,GA,31.0910162,-84.98214999999999
Flovilla Marshal's Office,GA,33.253734,-83.89851709999999
Falco Marshal's Office,AL,31.0490678,-86.6182881
Hoxbar Marshal's Office,OK,34.0709307,-97.03917779999999
Dallas Marshal's Office,SD,43.2361121,-99.51705299999999
Castle Gate Marshal's Office,UT,39.7355919,-110.872704
Fulford Marshal's Office,FL,25.9235379,-80.1647493
Hamilton Marshal's Office,WA,48.5214995,-121.9893146
Alameda Village Marshal's Office,ID,42.8899144,-112.454146
Bellevue City Marshal's Office,TX,33.6364933,-98.01392779999999
Paden Marshal's Office,OK,35.5078486,-96.5675136
New Richmond Town Marshal's Office,IN,40.1963448,-86.9790483
Daviess County Sheriff's Department,MO,39.9949074,-93.9878427
Carnegie Police Department,OK,35.1036699,-98.6036735
Crawford County Sheriff's Office,GA,32.7090798,-83.9744262
